Map_Id,village_id,village_name,village_latitude,village_longitude,village_population,village_sc_population,village_st_population,village_female_population,village_male_population,village_female_literate,village_male_literate,village_female_illiterate,village_male_illiterate,village_households,gp_id,gp_name,gp_name_census,gp_census_id,gp_latitude,gp_longitude,gp_total_population,gp_sc_population,gp_st_population,gp_female_population,gp_male_population,gp_households,villages_in_gp,block_map_id,block_id,block_name,subdistrict_name,subdistrict_census_code,district_code,district_name,district_census_name,state,data_note,map_gp_id
VIL_000001,493249,Ahmadpur,22.7184328,80.32022983,1781.0,0.0,1385.0,895.0,886.0,431.0,579.0,464.0,307.0,435.0,142639,Ahmadpur,ahmadpur,167902.0,22.7184328,80.32022983,1781.0,0.0,1385.0,895.0,886.0,435.0,1,BLK_000001,3900,Bichhiya,Mandla,3643.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000001
VIL_000002,493204,Amadongri,22.45503738,80.44894126,674.0,62.0,352.0,340.0,334.0,160.0,242.0,181.0,92.0,181.0,142640,Amadongari,amadongari,168040.0,22.45503738,80.44894126,1349.0,125.0,705.0,681.0,668.0,362.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000002
VIL_000003,493205,Bijegaon,22.45503738,80.44894126,674.0,62.0,352.0,340.0,334.0,160.0,242.0,181.0,92.0,181.0,142640,Amadongari,amadongari,168040.0,22.45503738,80.44894126,1349.0,125.0,705.0,681.0,668.0,362.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000002
VIL_000004,493248,Anjaniya,22.5042465,80.50461679,5444.0,1131.0,892.0,2656.0,2788.0,1788.0,2217.0,868.0,571.0,1379.0,142641,Anjania,anjania,168056.0,22.5042465,80.50461679,5444.0,1131.0,892.0,2656.0,2788.0,1379.0,1,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000003
VIL_000005,493250,Banji,22.50695394,80.53535233,801.0,123.0,604.0,402.0,399.0,153.0,262.0,249.0,138.0,182.0,142642,Banji,banji,168058.0,22.50695394,80.53535233,1602.0,246.0,1208.0,804.0,798.0,364.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000004
VIL_000006,493473,Simariya Urf Rampur F.V.,22.50695394,80.53535233,801.0,123.0,604.0,402.0,399.0,153.0,262.0,249.0,138.0,182.0,142642,Banji,banji,168058.0,22.50695394,80.53535233,1602.0,246.0,1208.0,804.0,798.0,364.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000004
VIL_000007,493206,Barbaspur,22.46351721,80.39757073,898.0,130.0,327.0,447.0,451.0,229.0,326.0,218.0,124.0,230.0,142643,Barbaspur Mal,barbaspur mal,168041.0,22.46351721,80.39757073,1796.0,259.0,654.0,894.0,902.0,459.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000005
VIL_000008,493208,Kata Mal.,22.46351721,80.39757073,898.0,130.0,327.0,447.0,451.0,229.0,326.0,218.0,124.0,230.0,142643,Barbaspur Mal,barbaspur mal,168041.0,22.46351721,80.39757073,1796.0,259.0,654.0,894.0,902.0,459.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000005
VIL_000009,493318,Barkheda Ryt.,22.41125761,80.76613645,1230.0,0.0,1149.0,613.0,617.0,239.0,374.0,374.0,243.0,302.0,142644,Barkheda,barkheda,168081.0,22.41125761,80.76613645,1230.0,0.0,1149.0,613.0,617.0,302.0,1,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000006
VIL_000010,493240,Atarchuha,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,869.0,850.0,425.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000007
VIL_000011,493239,Batwar,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,869.0,850.0,425.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000007
VIL_000012,493241,Dhamangaon,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,869.0,850.0,425.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000007
VIL_000013,493472,Simaiya Bhagpur F.V.,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,869.0,850.0,425.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000007
VIL_000014,908457,Sodar Fv,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,869.0,850.0,425.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000007
VIL_000015,493180,Bhawa Jar,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,1321.0,1284.0,586.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000008
VIL_000016,493179,Bhawa Mal.,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,1321.0,1284.0,586.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000008
VIL_000017,493183,Kharrajhar,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,1321.0,1284.0,586.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000008
VIL_000018,493181,Lutiya,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,1321.0,1284.0,586.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000008
VIL_000019,493182,Mohgaon,22.55000533,80.55070082,521.0,16.0,407.0,264.0,257.0,100.0,147.0,165.0,109.0,117.0,142646,Bhawamal,bhawamal,168029.0,22.55000533,80.55070082,2605.0,80.0,2033.0,1321.0,1284.0,586.0,5,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000008
VIL_000020,493329,Bhima,22.46555733,80.79679202,1284.0,0.0,692.0,659.0,625.0,252.0,341.0,407.0,284.0,269.0,142647,Bheema,bheema,168086.0,22.46555733,80.79679202,1284.0,0.0,692.0,659.0,625.0,269.0,1,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000009
VIL_000021,493246,Bokar,22.4838027,80.47036655,2057.0,258.0,545.0,1015.0,1042.0,478.0,759.0,537.0,283.0,514.0,142650,Bokar,bokar,168055.0,22.4838027,80.47036655,2057.0,258.0,545.0,1015.0,1042.0,514.0,1,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000010
VIL_000022,493338,Budla,22.48938443,80.67408139,668.0,0.0,484.0,327.0,341.0,141.0,207.0,186.0,134.0,179.0,142651,Budla,budla,168091.0,22.48938443,80.67408139,2003.0,0.0,1451.0,981.0,1022.0,537.0,3,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000011
VIL_000023,493339,Deori Ryt.,22.48938443,80.67408139,668.0,0.0,484.0,327.0,341.0,141.0,207.0,186.0,134.0,179.0,142651,Budla,budla,168091.0,22.48938443,80.67408139,2003.0,0.0,1451.0,981.0,1022.0,537.0,3,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000011
VIL_000024,493340,Dhamangaon,22.48938443,80.67408139,668.0,0.0,484.0,327.0,341.0,141.0,207.0,186.0,134.0,179.0,142651,Budla,budla,168091.0,22.48938443,80.67408139,2003.0,0.0,1451.0,981.0,1022.0,537.0,3,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000011
VIL_000025,493268,Changariya,22.49241073,80.58829562,498.0,1.0,366.0,240.0,258.0,97.0,143.0,142.0,115.0,109.0,142652,Changaria,changaria,168064.0,22.49241073,80.58829562,1991.0,3.0,1464.0,958.0,1033.0,435.0,4,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000012
VIL_000026,493269,Dudhari,22.49241073,80.58829562,498.0,1.0,366.0,240.0,258.0,97.0,143.0,142.0,115.0,109.0,142652,Changaria,changaria,168064.0,22.49241073,80.58829562,1991.0,3.0,1464.0,958.0,1033.0,435.0,4,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000012
VIL_000027,493270,Gadia,22.49241073,80.58829562,498.0,1.0,366.0,240.0,258.0,97.0,143.0,142.0,115.0,109.0,142652,Changaria,changaria,168064.0,22.49241073,80.58829562,1991.0,3.0,1464.0,958.0,1033.0,435.0,4,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000012
VIL_000028,493271,Kharpariya,22.49241073,80.58829562,498.0,1.0,366.0,240.0,258.0,97.0,143.0,142.0,115.0,109.0,142652,Changaria,changaria,168064.0,22.49241073,80.58829562,1991.0,3.0,1464.0,958.0,1033.0,435.0,4,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000012
VIL_000029,493211,Chargaon,22.41271973,80.43985203,486.0,22.0,423.0,254.0,231.0,96.0,135.0,159.0,96.0,123.0,142653,Chargaon,chargaon,168043.0,22.41271973,80.43985203,1457.0,65.0,1269.0,763.0,694.0,369.0,3,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000013
VIL_000030,493213,Chhichhari Ryt.,22.41271973,80.43985203,486.0,22.0,423.0,254.0,231.0,96.0,135.0,159.0,96.0,123.0,142653,Chargaon,chargaon,168043.0,22.41271973,80.43985203,1457.0,65.0,1269.0,763.0,694.0,369.0,3,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000013
VIL_000031,493212,Umardih,22.41271973,80.43985203,486.0,22.0,423.0,254.0,231.0,96.0,135.0,159.0,96.0,123.0,142653,Chargaon,chargaon,168043.0,22.41271973,80.43985203,1457.0,65.0,1269.0,763.0,694.0,369.0,3,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000013
VIL_000032,493319,Chatuwakhar,22.38609013,80.74862196,1085.0,8.0,369.0,528.0,557.0,217.0,378.0,311.0,178.0,284.0,142654,Chouranga Mal,chouranga mal,168080.0,22.38609013,80.74862196,2170.0,16.0,738.0,1056.0,1114.0,568.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000014
VIL_000033,493317,Chaunranga Mal.,22.38609013,80.74862196,1085.0,8.0,369.0,528.0,557.0,217.0,378.0,311.0,178.0,284.0,142654,Chouranga Mal,chouranga mal,168080.0,22.38609013,80.74862196,2170.0,16.0,738.0,1056.0,1114.0,568.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000014
VIL_000034,493331,Dei,22.48223897,80.69995902,1598.0,94.0,1070.0,808.0,790.0,404.0,536.0,404.0,254.0,373.0,142655,Dai,dai,168088.0,22.48223897,80.69995902,1598.0,94.0,1070.0,808.0,790.0,373.0,1,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000015
VIL_000035,493343,Matawal Alias Danitola,22.57798592,80.70689772,2575.0,104.0,1561.0,1277.0,1298.0,479.0,790.0,798.0,508.0,633.0,142656,Danitola,danitola,168094.0,22.57798592,80.70689772,2575.0,104.0,1561.0,1277.0,1298.0,633.0,1,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000016
VIL_000036,493288,Bundeli Khoh,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,701.0,692.0,343.0,6,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000017
VIL_000037,493284,Dilwara,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,701.0,692.0,343.0,6,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000017
VIL_000038,493289,Gubri,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,701.0,692.0,343.0,6,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000017
VIL_000039,493285,Ramhepur,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,701.0,692.0,343.0,6,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000017
VIL_000040,493287,Urdali Mal.,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,701.0,692.0,343.0,6,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000017
VIL_000041,493286,Urdali Ryt.,22.44607898,80.64904924,232.0,0.0,205.0,117.0,115.0,44.0,66.0,73.0,49.0,57.0,142657,Deelwara,deelwara,168068.0,22.44607898,80.64904924,1393.0,0.0,1230.0,701.0,692.0,343.0,6,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000017
VIL_000042,493306,Atariya,22.35122969,80.73979324,560.0,0.0,509.0,291.0,269.0,92.0,131.0,199.0,139.0,148.0,142658,Dharampuri Mal,dharampuri mal,168076.0,22.35122969,80.73979324,1681.0,0.0,1527.0,873.0,808.0,444.0,3,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000018
VIL_000043,493305,Bhimpuri Ryt.,22.35122969,80.73979324,560.0,0.0,509.0,291.0,269.0,92.0,131.0,199.0,139.0,148.0,142658,Dharampuri Mal,dharampuri mal,168076.0,22.35122969,80.73979324,1681.0,0.0,1527.0,873.0,808.0,444.0,3,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000018
VIL_000044,493304,Dharampuri Mal.,22.35122969,80.73979324,560.0,0.0,509.0,291.0,269.0,92.0,131.0,199.0,139.0,148.0,142658,Dharampuri Mal,dharampuri mal,168076.0,22.35122969,80.73979324,1681.0,0.0,1527.0,873.0,808.0,444.0,3,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000018
VIL_000045,493214,Dhutka,22.49606318,80.46352375,692.0,16.0,452.0,344.0,348.0,144.0,214.0,199.0,134.0,178.0,142659,Dhutka,dhutka,168044.0,22.49606318,80.46352375,1383.0,33.0,903.0,687.0,696.0,355.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000019
VIL_000046,493215,Malara,22.49606318,80.46352375,692.0,16.0,452.0,344.0,348.0,144.0,214.0,199.0,134.0,178.0,142659,Dhutka,dhutka,168044.0,22.49606318,80.46352375,1383.0,33.0,903.0,687.0,696.0,355.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000019
VIL_000047,493197,Bagli,22.50123998,80.42488506,842.0,42.0,110.0,416.0,426.0,242.0,312.0,174.0,114.0,212.0,142660,Diwara,diwara,168036.0,22.50123998,80.42488506,1684.0,84.0,219.0,833.0,851.0,424.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000020
VIL_000048,493196,Diwara,22.50123998,80.42488506,842.0,42.0,110.0,416.0,426.0,242.0,312.0,174.0,114.0,212.0,142660,Diwara,diwara,168036.0,22.50123998,80.42488506,1684.0,84.0,219.0,833.0,851.0,424.0,2,BLK_000001,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village data is GP census data divided equally among villages in that GP,GP_000020
