Map_Id,village_id,village_name,village_latitude,village_longitude,village_population,village_sc_population,village_st_population,village_female_population,village_male_population,village_female_literate,village_male_literate,village_female_illiterate,village_male_illiterate,village_households,village_water_area_ha,village_vegetation_area_ha,village_forest_area_ha,village_built_area_ha,village_barren_area_ha,village_total_area_ha,village_water_percent,village_vegetation_percent,village_forest_percent,village_built_percent,village_barren_percent,gp_id,gp_name,gp_name_census,gp_census_id,gp_latitude,gp_longitude,gp_total_population,gp_sc_population,gp_st_population,villages_in_gp,block_id,block_name,subdistrict_name,subdistrict_census_code,district_code,district_name,district_census_name,state,data_note,map_gp_id
VIL_000001,493249,Ahmadpur,22.7184328,80.32022983,1781.0,0.0,1385.0,895.0,886.0,431.0,579.0,464.0,307.0,435.0,0.08,79.44,0.56,2.65,29.63,112.35,0.07,70.71,0.49,2.36,26.37,142639,Ahmadpur,ahmadpur,167902.0,22.7184328,80.32022983,1781.0,0.0,1385.0,1,3900,Bichhiya,Mandla,3643.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000001
VIL_000001,493249,Ahmadpur,22.7184328,80.32022983,1781.0,0.0,1385.0,895.0,886.0,431.0,579.0,464.0,307.0,435.0,0.08,79.44,0.56,2.65,29.63,112.35,0.07,70.71,0.49,2.36,26.37,142639,Ahmadpur,ahmadpur,167902.0,22.7184328,80.32022983,1781.0,0.0,1385.0,1,3900,Bichhiya,Mandla,3643.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000001
VIL_000001,493249,Ahmadpur,22.7184328,80.32022983,1781.0,0.0,1385.0,895.0,886.0,431.0,579.0,464.0,307.0,435.0,0.08,79.44,0.56,2.65,29.63,112.35,0.07,70.71,0.49,2.36,26.37,142639,Ahmadpur,ahmadpur,167902.0,22.7184328,80.32022983,1781.0,0.0,1385.0,1,3900,Bichhiya,Mandla,3643.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000001
VIL_000001,493249,Ahmadpur,22.7184328,80.32022983,1781.0,0.0,1385.0,895.0,886.0,431.0,579.0,464.0,307.0,435.0,0.08,79.44,0.56,2.65,29.63,112.35,0.07,70.71,0.49,2.36,26.37,142639,Ahmadpur,ahmadpur,167902.0,22.7184328,80.32022983,1781.0,0.0,1385.0,1,3900,Bichhiya,Mandla,3643.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000001
VIL_000002,493204,Amadongri,22.45503738,80.44894126,674.0,62.0,352.0,340.0,334.0,160.0,242.0,181.0,92.0,181.0,0.05,332.49,202.03,2.12,38.92,575.6,0.01,57.76,35.1,0.37,6.76,142640,Amadongari,amadongari,168040.0,22.45503738,80.44894126,1349.0,125.0,705.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000002
VIL_000003,493205,Bijegaon,22.45503738,80.44894126,674.0,62.0,352.0,340.0,334.0,160.0,242.0,181.0,92.0,181.0,0.05,332.49,202.03,2.12,38.92,575.6,0.01,57.76,35.1,0.37,6.76,142640,Amadongari,amadongari,168040.0,22.45503738,80.44894126,1349.0,125.0,705.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000002
VIL_000004,493248,Anjaniya,22.5042465,80.50461679,5444.0,1131.0,892.0,2656.0,2788.0,1788.0,2217.0,868.0,571.0,1379.0,0.4,171.16,5.8,13.95,48.04,239.34,0.17,71.51,2.42,5.83,20.07,142641,Anjania,anjania,168056.0,22.5042465,80.50461679,5444.0,1131.0,892.0,1,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000003
VIL_000005,493250,Banji,22.50695394,80.53535233,801.0,123.0,604.0,402.0,399.0,153.0,262.0,249.0,138.0,182.0,0.2,114.66,39.94,2.72,47.76,205.28,0.1,55.86,19.45,1.33,23.27,142642,Banji,banji,168058.0,22.50695394,80.53535233,1602.0,246.0,1208.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000004
VIL_000006,493473,Simariya Urf Rampur F.V.,22.50695394,80.53535233,801.0,123.0,604.0,402.0,399.0,153.0,262.0,249.0,138.0,182.0,0.2,114.66,39.94,2.72,47.76,205.28,0.1,55.86,19.45,1.33,23.27,142642,Banji,banji,168058.0,22.50695394,80.53535233,1602.0,246.0,1208.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000004
VIL_000007,493206,Barbaspur,22.46351721,80.39757073,898.0,130.0,327.0,447.0,451.0,229.0,326.0,218.0,124.0,230.0,0.27,121.88,7.62,17.81,80.07,227.64,0.12,53.54,3.35,7.82,35.17,142643,Barbaspur Mal,barbaspur mal,168041.0,22.46351721,80.39757073,1796.0,259.0,654.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000005
VIL_000008,493208,Kata Mal.,22.46351721,80.39757073,898.0,130.0,327.0,447.0,451.0,229.0,326.0,218.0,124.0,230.0,0.27,121.88,7.62,17.81,80.07,227.64,0.12,53.54,3.35,7.82,35.17,142643,Barbaspur Mal,barbaspur mal,168041.0,22.46351721,80.39757073,1796.0,259.0,654.0,2,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000005
VIL_000009,493318,Barkheda Ryt.,22.41125761,80.76613645,1230.0,0.0,1149.0,613.0,617.0,239.0,374.0,374.0,243.0,302.0,0.33,295.35,11.84,7.84,216.43,531.8,0.06,55.54,2.23,1.47,40.7,142644,Barkheda,barkheda,168081.0,22.41125761,80.76613645,1230.0,0.0,1149.0,1,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000006
VIL_000010,493240,Atarchuha,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,1.37,88.9,27.55,2.24,27.71,147.78,0.93,60.16,18.65,1.52,18.75,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000007
VIL_000011,493239,Batwar,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,1.37,88.9,27.55,2.24,27.71,147.78,0.93,60.16,18.65,1.52,18.75,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000007
VIL_000012,493241,Dhamangaon,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,1.37,88.9,27.55,2.24,27.71,147.78,0.93,60.16,18.65,1.52,18.75,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000007
VIL_000013,493472,Simaiya Bhagpur F.V.,22.41774361,80.52469721,344.0,1.0,285.0,174.0,170.0,61.0,94.0,113.0,76.0,85.0,1.37,88.9,27.55,2.24,27.71,147.78,0.93,60.16,18.65,1.52,18.75,142645,Batwar,batwar,168051.0,22.41774361,80.52469721,1719.0,7.0,1425.0,5,3900,Bichhiya,Bichhiya,3645.0,415,Mandla,mandla,Madhya Pradesh,Village land cover areas distributed from GP based on population share. Percentages reflect GP-level land cover composition.,GP_000007
