title_id,beneficiary_id,village_id,right_type,status,area_hectares,application_date,approval_date,survey_number,gps_coordinates,forest_division,forest_range,forest_beat,gram_sabha_resolution_date,sdlc_recommendation_date,dlc_approval_date,title_deed_number,remarks
FRA_TITLE_00000001,FRA_00000001,VIL_000001,IFR,Under_Review,2.94,2022-09-27,,SUR_909/2,VIL_000001_85,Mandla_Forest_Division,Mandla_Range_3,Beat_4,2023-09-15,2024-07-03,2025-09-26,,Complete Documentation
FRA_TITLE_00000002,FRA_00000001,VIL_000001,CFR,Rejected,6.41,2025-04-23,,SUR_595/45,VIL_000001_72,Mandla_Forest_Division,Mandla_Range_2,Beat_4,2023-04-15,2024-05-20,2025-09-26,,Complete Documentation
FRA_TITLE_00000003,FRA_00000002,VIL_000001,CFR,Rejected,8.12,2023-06-14,,SUR_837/49,VIL_000001_71,Mandla_Forest_Division,Mandla_Range_4,Beat_6,2023-10-15,2024-02-29,,,Under Verification
FRA_TITLE_000000FRA_0000000404,,VIL_000001,IFR,Approved,3.5,2022-12-29,,SUR_637/12,VIL_000001_65,Mandla_Forest_Division,Mandla_Range_1,Beat_3,2023-09-21,2024-05-30,2025-09-26,DEED_000004,Under Verification
FRA_TITLE_00000005,FRA_00000005,VIL_000001,IFR,Approved,2.45,2024-12-26,2024-11-29,SUR_386/49,VIL_000001_29,Mandla_Forest_Division,Mandla_Range_5,Beat_5,2023-03-07,2023-10-07,2025-09-26,DEED_000005,Pending Survey
FRA_TITLE_00000006,FRA_00000006,VIL_000001,CR,Pending,7.39,2023-04-11,,SUR_182/40,VIL_000001_49,Mandla_Forest_Division,Mandla_Range_3,Beat_9,2024-09-18,2023-12-30,,,Complete Documentation
FRA_TITLE_00000007,FRA_00000007,VIL_000001,CFR,Approved,2.95,2023-08-16,2025-07-09,SUR_932/28,VIL_000001_23,Mandla_Forest_Division,Mandla_Range_2,Beat_4,2023-10-04,2023-11-04,2025-09-26,DEED_000007,Complete Documentation
FRA_TITLE_00000008,FRA_00000008,VIL_000001,IFR,Approved,2.37,2024-07-21,,SUR_180/5,VIL_000001_85,Mandla_Forest_Division,Mandla_Range_2,Beat_9,2024-08-27,2024-12-26,,DEED_000008,Under Verification
FRA_TITLE_00000009,FRA_00000010,VIL_000001,CR,Under_Review,3.31,2024-10-23,2024-06-22,SUR_367/48,VIL_000001_1,Mandla_Forest_Division,Mandla_Range_1,Beat_1,2024-02-29,2024-03-05,,DEED_000009,Complete Documentation
FRA_TITLE_00000010,FRA_00000013,VIL_000001,CR,Approved,7.81,2024-12-18,2025-08-26,SUR_245/34,VIL_000001_28,Mandla_Forest_Division,Mandla_Range_1,Beat_2,2024-04-17,2024-07-11,,DEED_000010,Under Verification
FRA_TITLE_00000011,FRA_00000013,VIL_000001,CFR,Approved,7.04,2024-11-14,2024-04-02,SUR_521/4,VIL_000001_24,Mandla_Forest_Division,Mandla_Range_3,Beat_9,2023-03-29,2024-09-15,,DEED_000011,Complete Documentation
FRA_TITLE_00000012,FRA_00000017,VIL_000001,CR,Approved,0.62,2025-01-19,,SUR_873/19,VIL_000001_4,Mandla_Forest_Division,Mandla_Range_4,Beat_10,2023-06-14,2024-11-09,2025-09-26,DEED_000012,Pending Survey
FRA_TITLE_00000013,FRA_00000018,VIL_000002,IFR,Approved,0.74,2024-11-10,,SUR_580/5,VIL_000002_2,Mandla_Forest_Division,Mandla_Range_4,Beat_6,2024-04-01,2024-05-09,,,Pending Survey
FRA_TITLE_00000014,FRA_00000020,VIL_000002,CR,Approved,1.38,2023-05-12,2023-11-23,SUR_934/9,VIL_000002_9,Mandla_Forest_Division,Mandla_Range_1,Beat_10,2022-10-20,2025-01-03,,,Pending Survey
FRA_TITLE_00000015,FRA_00000020,VIL_000002,CFR,Under_Review,0.75,2025-07-23,,SUR_629/16,VIL_000002_4,Mandla_Forest_Division,Mandla_Range_4,Beat_8,2023-02-14,2023-11-08,,DEED_000015,Pending Survey
FRA_TITLE_00000016,FRA_00000022,VIL_000002,CR,Pending,3.96,2025-06-06,2024-03-03,SUR_943/35,VIL_000002_76,Mandla_Forest_Division,Mandla_Range_5,Beat_4,2023-01-02,2024-01-07,,,Complete Documentation
